,fecha,prices bitcoin,market_caps bitcoin,total_volumes bitcoin,prices ethereum,market_caps ethereum,total_volumes ethereum,prices binancecoin,market_caps binancecoin,total_volumes binancecoin,prices cardano,market_caps cardano,total_volumes cardano,prices dogecoin,market_caps dogecoin,total_volumes dogecoin,prices solana,market_caps solana,total_volumes solana,prices polkadot,market_caps polkadot,total_volumes polkadot,prices matic-network,market_caps matic-network,total_volumes matic-network,prices litecoin,market_caps litecoin,total_volumes litecoin,prices ripple,market_caps ripple,total_volumes ripple,Year,Month
10,2020-08-28,11519.12,212799723684.94672,19271253870.82992,395.14,44402928843.0099,10196208352.394411,23.07,3413764685.101583,275873858.950788,0.11,3399180375.132592,372495384.20571584,0.0,411882061.83319265,183848935.59504095,4.01,129651597.85797815,26740109.116042912,6.16,5563188700.133332,584978197.1298553,0.03,101246672.33165805,11552718.774963379,57.19,3736806405.410548,2273821635.8204355,0.27,12209429474.405241,1662139152.0528982,2020,8
11,2020-08-29,11481.48,212114842611.5429,18415439613.538937,399.37,44884412904.61814,9631959320.390598,22.99,3408734637.1192765,224020180.56624666,0.12,3627847118.2657804,361328837.3964716,0.0,413541572.63835317,193821341.12571704,3.97,128816760.88101023,14534080.230702233,6.15,5580674883.763024,407313299.8601509,0.03,104805853.8897475,18503185.491906628,57.08,3729605750.493309,2025496324.2427692,0.27,12327872181.022144,1474071862.2568681,2020,8
12,2020-08-30,11701.0,216179629567.18042,19909556666.601448,428.3,48092923342.6494,12945668314.960146,23.62,3486695535.7498837,242465281.0725434,0.12,3644289688.9773984,380535420.5953276,0.0,414616017.2494196,176682135.60881442,4.44,144468272.8412078,22083311.984774828,5.9,5350103716.769489,366896197.48982257,0.03,102737882.24521959,15997642.861756328,62.74,4100090584.708784,2649981023.648567,0.28,12698936383.28671,1797744333.9432154,2020,8
13,2020-08-31,11672.32,215921598551.33038,21077276617.8664,435.69,49098776608.15353,14228693735.746506,23.16,3429200221.899609,226364373.29574117,0.12,3800068624.5751796,462276340.225975,0.0,405652921.3823183,184353787.46588328,4.79,157231078.23530626,19476155.185270272,6.3,5712939724.608923,430398059.7192618,0.03,100757219.5131663,14518132.972764047,60.96,3983740402.535963,2366434812.830789,0.28,12734844410.00787,1713133363.5142736,2020,8
14,2020-09-01,11895.23,221315690777.34525,25232603061.53493,475.68,54146717970.58548,18804560687.28111,24.67,3678647220.13556,464622720.8644604,0.12,3897283726.8503413,492424473.2869551,0.0,410342291.90593076,188077468.07080895,4.3,144080731.16918826,16073140.847875303,6.23,5693335995.934683,472601408.55368245,0.03,97730121.73933297,18268026.04741732,62.66,4134068888.1339593,2552417863.9096212,0.29,13354060728.872845,2200424987.252293,2020,9
15,2020-09-02,11418.25,210746091569.71368,26038738388.798878,439.35,49401551509.00041,19315593282.634296,24.65,3644800878.5971384,598973209.7440873,0.12,3592445420.136127,403602179.37055224,0.0,389604298.3621091,119362426.6313002,4.18,137747076.79202124,23121094.981106814,6.16,5597505846.232816,485766767.0734896,0.02,89068305.51251909,23511217.29693434,58.21,3801919382.806389,2445103718.042237,0.28,12382372183.463934,2141694657.2245405,2020,9
16,2020-09-03,10197.46,188438095255.46017,49411126240.51858,383.69,43135808902.68998,17364384113.17322,20.52,3057090063.010929,610440504.7358899,0.1,2964196395.4695144,447179060.00669384,0.0,351549697.71132225,138600098.46007752,3.51,119105104.96979707,27187766.957454216,5.68,5294708814.664548,630783985.0451007,0.02,72282633.7323144,19712084.832457587,47.39,3098110224.8266554,2301558528.186719,0.25,11065297518.795168,1905179784.3997455,2020,9
17,2020-09-04,10484.47,194040447575.93134,27623487077.06882,387.9,43627087090.328964,10260946593.268202,20.97,3101433925.4020534,513886862.9835712,0.1,3212415575.1961985,432365099.0404522,0.0,366711396.7095069,141872359.2003525,3.54,118962336.47400291,17857611.36846,5.13,4675680671.656081,676657581.6459368,0.02,73039273.53069113,20356501.58857557,50.59,3307691534.5973773,2557252365.8776436,0.26,11509605205.140549,2213832554.2559366,2020,9
18,2020-09-05,10177.79,188092098308.3525,56430042198.69171,334.47,37655618254.050865,22254663654.420143,19.41,2870047729.5380454,418830419.4678139,0.09,2813755887.7479177,316776337.67474675,0.0,346063586.9366199,138532132.68538773,2.6,87193154.31518938,25742235.853560265,4.13,3750820473.971468,595268790.8541288,0.02,68226544.13603233,15872237.85103611,47.82,3127141600.3948364,2418206372.9905906,0.24,10673276821.059345,2295524358.51172,2020,9
19,2020-09-06,10260.02,189621410257.03525,28801019507.333485,352.99,39710363028.2121,21920007828.96099,23.24,3441897088.2076416,755431632.9076576,0.09,2892505366.7381506,333667094.66473097,0.0,349731791.61472195,160023366.51023656,3.09,103754712.65869252,18512975.690539997,4.79,4394131227.7377405,511543436.75403696,0.02,71334309.87308635,10895932.213514173,47.9,3132753425.1257844,1902238780.1695814,0.24,10779606840.159895,1877164435.4658952,2020,9
